date,name,team,hr_score,model_prob,model_prob_raw,calibration_method,homered,hr_count
2025-09-08,Shohei Ohtani,LAD,54.4,0.544,,,0,0
2025-09-08,Eugenio Suárez,SEA,53.6,0.536,,,0,0
2025-09-08,Cal Raleigh,SEA,52.9,0.529,,,0,0
2025-09-08,Juan Soto,NYM,52.3,0.523,,,0,0
2025-09-08,Brian Navarreto,MIA,51.4,0.514,,,0,0
2025-09-08,Jo Adell,LAA,51.3,0.513,,,0,0
2025-09-08,Pete Alonso,NYM,49.3,0.493,,,0,0
2025-09-08,Julio Rodríguez,SEA,49.0,0.49,,,0,0
2025-09-08,Andy Pages,LAD,45.7,0.457,,,0,0
2025-09-08,Brandon Nimmo,NYM,45.3,0.453,,,0,0
2025-09-08,Dansby Swanson,CHC,45.0,0.45,,,0,0
2025-09-08,Jorge Polanco,SEA,44.6,0.446,,,0,0
2025-09-08,Ian Happ,CHC,44.3,0.443,,,0,0
2025-09-08,Michael Busch,CHC,44.1,0.441,,,0,0
2025-09-08,Freddie Freeman,LAD,43.8,0.438,,,0,0
2025-09-08,Francisco Lindor,NYM,43.8,0.438,,,0,0
2025-09-08,Salvador Perez,KC,43.4,0.434,,,0,0
2025-09-08,Byron Buxton,MIN,42.9,0.429,,,0,0
2025-09-08,Vinnie Pasquantino,KC,42.3,0.423,,,0,0
2025-09-08,Bobby Witt Jr.,KC,42.2,0.422,,,0,0
2025-09-08,Mark Vientos,NYM,42.2,0.422,,,0,0
2025-09-08,Zach Neto,LAA,42.1,0.421,,,0,0
2025-09-08,Carson Kelly,CHC,41.9,0.419,,,0,0
2025-09-08,Hunter Goodman,COL,41.9,0.419,,,0,0
2025-09-08,Brett Baty,NYM,41.7,0.417,,,0,0
2025-09-08,Ozzie Albies,ATL,41.6,0.416,,,0,0
2025-09-08,Taylor Ward,LAA,41.4,0.414,,,0,0
2025-09-08,Will Smith,LAD,41.4,0.414,,,0,0
2025-09-08,Randy Arozarena,SEA,41.2,0.412,,,0,0
2025-09-08,Pete Crow-Armstrong,CHC,41.2,0.412,,,0,0
2025-09-08,Seiya Suzuki,CHC,41.0,0.41,,,0,0
2025-09-08,Teoscar Hernández,LAD,40.9,0.409,,,0,0
2025-09-08,Kyle Schwarber,PHI,40.6,0.406,,,0,0
2025-09-08,Josh Naylor,SEA,40.2,0.402,,,0,0
2025-09-08,Mookie Betts,LAD,40.2,0.402,,,0,0
2025-09-08,Jared Young,NYM,39.7,0.397,,,0,0
2025-09-08,Matt Olson,ATL,39.6,0.396,,,0,0
2025-09-08,Austin Hays,CIN,39.4,0.394,,,0,0
2025-09-08,Luis Torrens,NYM,39.1,0.391,,,0,0
2025-09-08,Kyle Tucker,CHC,39.0,0.39,,,0,0
2025-09-08,Rafael Devers,SF,38.9,0.389,,,0,0
2025-09-08,Ramón Laureano,SD,38.9,0.389,,,0,0
2025-09-08,Mike Yastrzemski,KC,38.8,0.388,,,0,0
2025-09-08,Wyatt Langford,TEX,38.3,0.383,,,0,0
2025-09-08,Maikel Garcia,KC,38.3,0.383,,,0,0
2025-09-08,Enrique Hernández,LAD,38.1,0.381,,,0,0
2025-09-08,Francisco Alvarez,NYM,37.9,0.379,,,0,0
2025-09-08,Iván Herrera,STL,37.8,0.378,,,0,0
2025-09-08,Corbin Carroll,ARI,37.8,0.378,,,0,0
2025-09-08,Michael Conforto,LAD,37.6,0.376,,,0,0
2025-09-08,Cedric Mullins,NYM,37.6,0.376,,,0,0
2025-09-08,Reese McGuire,CHC,37.4,0.374,,,0,0
2025-09-08,Gavin Sheets,SD,37.2,0.372,,,0,0
2025-09-08,Drake Baldwin,ATL,37.1,0.371,,,0,0
2025-09-08,Dominic Canzone,SEA,37.0,0.37,,,0,0
2025-09-08,Jake Burger,TEX,36.7,0.367,,,0,0
2025-09-08,Matt Wallner,MIN,36.3,0.363,,,0,0
2025-09-08,Carlos Santana,CHC,36.3,0.363,,,0,0
2025-09-08,Manny Machado,SD,36.2,0.362,,,0,0
2025-09-08,James Wood,WSH,36.2,0.362,,,0,0
2025-09-08,Agustín Ramírez,MIA,36.1,0.361,,,0,0
2025-09-08,Ketel Marte,ARI,36.1,0.361,,,0,0
2025-09-08,Elly De La Cruz,CIN,36.1,0.361,,,0,0
2025-09-08,Jeff McNeil,NYM,36.0,0.36,,,0,0
2025-09-08,Mike Trout,LAA,35.8,0.358,,,0,0
2025-09-08,Kyle Manzardo,CLE,35.7,0.357,,,0,0
2025-09-08,Logan O'Hoppe,LAA,35.5,0.355,,,0,0
2025-09-08,Willy Adames,SF,35.4,0.354,,,0,0
2025-09-08,Jurickson Profar,ATL,35.3,0.353,,,0,0
2025-09-08,Jac Caglianone,KC,35.3,0.353,,,0,0
2025-09-08,Mickey Moniak,COL,35.2,0.352,,,0,0
2025-09-08,Fernando Tatis Jr.,SD,35.1,0.351,,,0,0
2025-09-08,Alex Call,LAD,35.0,0.35,,,0,0
2025-09-08,Michael Harris II,ATL,34.9,0.349,,,0,0
2025-09-08,Matt McLain,CIN,34.9,0.349,,,0,0
2025-09-08,Randal Grichuk,KC,34.9,0.349,,,0,0
2025-09-08,Sal Stewart,CIN,34.6,0.346,,,0,0
2025-09-08,Matthew Lugo,LAA,34.5,0.345,,,0,0
2025-09-08,Mitch Garver,SEA,34.5,0.345,,,0,0
2025-09-08,Josh Bell,WSH,34.3,0.343,,,0,0
2025-09-08,Nolan Gorman,STL,34.1,0.341,,,0,0
2025-09-08,Willi Castro,CHC,34.1,0.341,,,0,0
2025-09-08,Starling Marte,NYM,34.1,0.341,,,0,0
2025-09-08,Rowdy Tellez,TEX,34.0,0.34,,,0,0
2025-09-08,Sean Murphy,ATL,34.0,0.34,,,0,0
2025-09-08,Ronald Acuña Jr.,ATL,34.0,0.34,,,0,0
2025-09-08,Miguel Rojas,LAD,34.0,0.34,,,0,0
2025-09-08,Maximo Acosta,MIA,33.9,0.339,,,0,0
2025-09-08,Marcell Ozuna,ATL,33.8,0.338,,,0,0
2025-09-08,Jackson Merrill,SD,33.7,0.337,,,0,0
2025-09-08,Yoán Moncada,LAA,33.7,0.337,,,0,0
2025-09-08,Jackson Chourio,MIL,33.6,0.336,,,0,0
2025-09-08,Noelvi Marte,CIN,33.5,0.335,,,0,0
2025-09-08,Dylan Moore,TEX,33.4,0.334,,,0,0
2025-09-08,Eli White,ATL,33.4,0.334,,,0,0
2025-09-08,J.P. Crawford,SEA,33.3,0.333,,,0,0
2025-09-08,Joc Pederson,TEX,33.3,0.333,,,0,0
2025-09-08,Ronny Mauricio,NYM,33.3,0.333,,,0,0
2025-09-08,Matt Shaw,CHC,33.1,0.331,,,0,0
2025-09-08,Spencer Steer,CIN,33.0,0.33,,,0,0
2025-09-08,Adam Frazier,KC,33.0,0.33,,,0,0
2025-09-08,Otto Lopez,MIA,32.9,0.329,,,0,0
2025-09-08,Geraldo Perdomo,ARI,32.9,0.329,,,0,0
2025-09-08,Brenton Doyle,COL,32.9,0.329,,,0,0
2025-09-08,Josh Jung,TEX,32.7,0.327,,,0,0
2025-09-08,Nico Hoerner,CHC,32.7,0.327,,,0,0
2025-09-08,Nick Loftin,KC,32.7,0.327,,,0,0
2025-09-08,Kody Clemens,MIN,32.5,0.325,,,0,0
2025-09-08,José Ramírez,CLE,32.5,0.325,,,0,0
2025-09-08,Cole Young,SEA,32.4,0.324,,,0,0
2025-09-08,Travis d'Arnaud,LAA,32.4,0.324,,,0,0
2025-09-08,Bryce Harper,PHI,32.3,0.323,,,0,0
2025-09-08,Will Benson,CIN,32.3,0.323,,,0,0
2025-09-08,Christian Yelich,MIL,32.2,0.322,,,0,0
2025-09-08,Luke Raley,SEA,32.2,0.322,,,0,0
2025-09-08,Kyle Higashioka,TEX,32.2,0.322,,,0,0
2025-09-08,Jordan Beck,COL,32.2,0.322,,,0,0
2025-09-08,William Contreras,MIL,32.0,0.32,,,0,0
2025-09-08,Leo Rivas,SEA,32.0,0.32,,,0,0
2025-09-08,Lars Nootbaar,STL,32.0,0.32,,,0,0
2025-09-08,Justin Turner,CHC,32.0,0.32,,,0,0
2025-09-08,Royce Lewis,MIN,31.9,0.319,,,0,0
2025-09-08,Pedro Pagés,STL,31.8,0.318,,,0,0
2025-09-08,Brooks Lee,MIN,31.7,0.317,,,0,0
2025-09-08,Luis Rengifo,LAA,31.7,0.317,,,0,0
2025-09-08,Ben Rortvedt,LAD,31.6,0.316,,,0,0
2025-09-08,Hyeseong Kim,LAD,31.6,0.316,,,0,0
2025-09-08,Oswald Peraza,LAA,31.5,0.315,,,0,0
2025-09-08,Andrés Chaparro,WSH,31.5,0.315,,,0,0
2025-09-08,Jordan Walker,STL,31.4,0.314,,,0,0
2025-09-08,Tyler Stephenson,CIN,31.4,0.314,,,0,0
2025-09-08,Jake Cronenworth,SD,31.3,0.313,,,0,0
2025-09-08,Brice Turang,MIL,31.3,0.313,,,0,0
2025-09-08,Trevor Larnach,MIN,31.1,0.311,,,0,0
2025-09-08,Ezequiel Tovar,COL,31.1,0.311,,,0,0
2025-09-08,Michael Helman,TEX,31.0,0.31,,,0,0
2025-09-08,CJ Abrams,WSH,31.0,0.31,,,0,0
2025-09-08,Miguel Andujar,CIN,30.6,0.306,,,0,0
2025-09-08,Luke Maile,KC,30.6,0.306,,,0,0
2025-09-08,Ryan O'Hearn,SD,30.5,0.305,,,0,0
2025-09-08,Blaze Alexander,ARI,30.2,0.302,,,0,0
2025-09-08,TJ Friedl,CIN,30.2,0.302,,,0,0
2025-09-08,Kyle Isbel,KC,30.1,0.301,,,0,0
2025-09-08,Jonah Heim,TEX,30.0,0.3,,,0,0
2025-09-08,Carter Jensen,KC,30.0,0.3,,,0,0
2025-09-08,Tyler Tolbert,KC,30.0,0.3,,,0,0
2025-09-08,Eric Wagaman,MIA,29.9,0.299,,,0,0
2025-09-08,Elias Díaz,SD,29.9,0.299,,,0,0
2025-09-08,Andrew Vaughn,MIL,29.9,0.299,,,0,0
2025-09-08,Ke'Bryan Hayes,CIN,29.9,0.299,,,0,0
2025-09-08,Chuckie Robinson,LAD,29.8,0.298,,,0,0
2025-09-08,Matt Chapman,SF,29.7,0.297,,,0,0
2025-09-08,Victor Robles,SEA,29.7,0.297,,,0,0
2025-09-08,Cody Freeman,TEX,29.6,0.296,,,0,0
2025-09-08,Luis García Jr.,WSH,29.4,0.294,,,0,0
2025-09-08,Nasim Nuñez,WSH,29.2,0.292,,,0,0
2025-09-08,Gavin Lux,CIN,29.1,0.291,,,0,0
2025-09-08,Luisangel Acuña,NYM,29.1,0.291,,,0,0
2025-09-08,Joey Wiemer,MIA,29.0,0.29,,,0,0
2025-09-08,Michael Massey,KC,29.0,0.29,,,0,0
2025-09-08,Jake Bauers,MIL,28.9,0.289,,,0,0
2025-09-08,Jake Fraley,ATL,28.9,0.289,,,0,0
2025-09-08,Luis Arraez,SD,28.8,0.288,,,0,0
2025-09-08,Ha-Seong Kim,ATL,28.8,0.288,,,0,0
2025-09-08,Gabriel Moreno,ARI,28.8,0.288,,,0,0
2025-09-08,Danny Jansen,MIL,28.7,0.287,,,0,0
2025-09-08,Alejandro Osuna,TEX,28.6,0.286,,,0,0
2025-09-08,Dustin Harris,TEX,28.6,0.286,,,0,0
2025-09-08,Josh Smith,TEX,28.6,0.286,,,0,0
2025-09-08,Alek Thomas,ARI,28.4,0.284,,,0,0
2025-09-08,Masyn Winn,STL,28.4,0.284,,,0,0
2025-09-08,Harry Ford,SEA,28.3,0.283,,,0,0
2025-09-08,Luke Keaschall,MIN,28.3,0.283,,,0,0
2025-09-08,Heriberto Hernández,MIA,28.3,0.283,,,0,0
2025-09-08,Yanquiel Fernández,COL,28.3,0.283,,,0,0
2025-09-08,Riley Adams,WSH,28.3,0.283,,,0,0
2025-09-08,Scott Kingery,LAA,28.2,0.282,,,0,0
2025-09-08,Jakob Marsee,MIA,28.2,0.282,,,0,0
2025-09-08,Jose Trevino,CIN,28.2,0.282,,,0,0
2025-09-08,Kyle Farmer,COL,28.2,0.282,,,0,0
2025-09-08,James Outman,MIN,28.1,0.281,,,0,0
2025-09-08,José Fermín,STL,28.0,0.28,,,0,0
2025-09-08,Ryan Fitzgerald,MIN,27.9,0.279,,,0,0
2025-09-08,Troy Johnston,MIA,27.8,0.278,,,0,0
2025-09-08,Javier Sanoja,MIA,27.8,0.278,,,0,0
2025-09-08,Kevin Alcántara,CHC,27.7,0.277,,,0,0
2025-09-08,Yohel Pozo,STL,27.6,0.276,,,0,0
2025-09-08,Chris Taylor,LAA,27.6,0.276,,,0,0
2025-09-08,Bo Naylor,CLE,27.6,0.276,,,0,0
2025-09-08,Daniel Schneemann,CLE,27.6,0.276,,,0,0
2025-09-08,Gabriel Arias,CLE,27.6,0.276,,,0,0
2025-09-08,Edouard Julien,MIN,27.5,0.275,,,0,0
2025-09-08,Max Kepler,PHI,27.3,0.273,,,0,0
2025-09-08,Braxton Fulford,COL,27.2,0.272,,,0,0
2025-09-08,Dylan Crews,WSH,27.2,0.272,,,0,0
2025-09-08,Victor Scott II,STL,27.1,0.271,,,0,0
2025-09-08,Thomas Saggese,STL,27.1,0.271,,,0,0
2025-09-08,Ildemaro Vargas,ARI,27.1,0.271,,,0,0
2025-09-08,Ezequiel Duran,TEX,27.0,0.27,,,0,0
2025-09-08,Andruw Monasterio,MIL,27.0,0.27,,,0,0
2025-09-08,Sal Frelick,MIL,26.7,0.267,,,0,0
2025-09-08,Adrian Del Castillo,ARI,26.7,0.267,,,0,0
2025-09-08,Vidal Bruján,ATL,26.7,0.267,,,0,0
2025-09-08,Bryce Teodosio,LAA,26.6,0.266,,,0,0
2025-09-08,Angel Martínez,CLE,26.6,0.266,,,0,0
2025-09-08,Justin Dean,LAD,26.6,0.266,,,0,0
2025-09-08,Daylen Lile,WSH,26.5,0.265,,,0,0
2025-09-08,Harrison Bader,PHI,26.4,0.264,,,0,0
2025-09-08,Nathan Church,STL,26.4,0.264,,,0,0
2025-09-08,Nolan Jones,CLE,26.4,0.264,,,0,0
2025-09-08,Brady House,WSH,26.4,0.264,,,0,0
2025-09-08,Paul DeJong,WSH,26.4,0.264,,,0,0
2025-09-08,Jimmy Crooks,STL,26.3,0.263,,,0,0
2025-09-08,Warming Bernabel,COL,26.2,0.262,,,0,0
2025-09-08,Liam Hicks,MIA,26.1,0.261,,,0,0
2025-09-08,Robert Hassell III,WSH,26.1,0.261,,,0,0
2025-09-08,Caleb Durbin,MIL,25.9,0.259,,,0,0
2025-09-08,Freddy Fermin,SD,25.8,0.258,,,0,0
2025-09-08,Jack Winkler,MIA,25.8,0.258,,,0,0
2025-09-08,Santiago Espinal,CIN,25.8,0.258,,,0,0
2025-09-08,Austin Hedges,CLE,25.7,0.257,,,0,0
2025-09-08,Jordan Lawlar,ARI,25.6,0.256,,,0,0
2025-09-08,Garrett Hampson,STL,25.5,0.255,,,0,0
2025-09-08,David Fry,CLE,25.5,0.255,,,0,0
2025-09-08,Orlando Arcia,COL,25.4,0.254,,,0,0
2025-09-08,Connor Kaiser,ARI,25.3,0.253,,,0,0
2025-09-08,Mason McCoy,SD,25.2,0.252,,,0,0
2025-09-08,Wilmer Flores,SF,25.2,0.252,,,0,0
2025-09-08,Isaac Collins,MIL,25.2,0.252,,,0,0
2025-09-08,Jorge Alfaro,WSH,25.2,0.252,,,0,0
2025-09-08,Heliot Ramos,SF,25.1,0.251,,,0,0
2025-09-08,Trea Turner,PHI,25.0,0.25,,,0,0
2025-09-08,Casey Schmitt,SF,24.9,0.249,,,0,0
2025-09-08,Mickey Gasper,MIN,24.9,0.249,,,0,0
2025-09-08,Jhonkensy Noel,CLE,24.9,0.249,,,0,0
2025-09-08,Tyler Freeman,COL,24.9,0.249,,,0,0
2025-09-08,Nick Allen,ATL,24.8,0.248,,,0,0
2025-09-08,Nacho Alvarez Jr.,ATL,24.8,0.248,,,0,0
2025-09-08,James McCann,ARI,24.8,0.248,,,0,0
2025-09-08,Will Wagner,SD,24.7,0.247,,,0,0
2025-09-08,Tyler Locklear,ARI,24.7,0.247,,,0,0
2025-09-08,Logan Davidson,LAA,24.6,0.246,,,0,0
2025-09-08,Jake McCarthy,ARI,24.6,0.246,,,0,0
2025-09-08,Jose Iglesias,SD,24.5,0.245,,,0,0
2025-09-08,Xavier Edwards,MIA,24.5,0.245,,,0,0
2025-09-08,Joey Ortiz,MIL,24.4,0.244,,,0,0
2025-09-08,Ryan Ritter,COL,24.4,0.244,,,0,0
2025-09-08,Kyle Karros,COL,24.3,0.243,,,0,0
2025-09-08,Bryce Johnson,SD,23.6,0.236,,,0,0
2025-09-08,Jhonny Pereda,MIN,23.6,0.236,,,0,0
2025-09-08,Brayan Rocchio,CLE,23.6,0.236,,,0,0
2025-09-08,C.J. Kayfus,CLE,23.5,0.235,,,0,0
2025-09-08,Victor Mesa Jr.,MIA,23.3,0.233,,,0,0
2025-09-08,J.T. Realmuto,PHI,23.3,0.233,,,0,0
2025-09-08,Luis Matos,SF,23.2,0.232,,,0,0
2025-09-08,Steven Kwan,CLE,23.1,0.231,,,0,0
2025-09-08,Jacob Young,WSH,23.1,0.231,,,0,0
2025-09-08,Nick Castellanos,PHI,23.0,0.23,,,0,0
2025-09-08,Drew Gilbert,SF,22.9,0.229,,,0,0
2025-09-08,Brandon Marsh,PHI,22.9,0.229,,,0,0
2025-09-08,Austin Martin,MIN,22.8,0.228,,,0,0
2025-09-08,Weston Wilson,PHI,22.8,0.228,,,0,0
2025-09-08,Blake Perkins,MIL,22.7,0.227,,,0,0
2025-09-08,Grant McCray,SF,22.6,0.226,,,0,0
2025-09-08,Bryson Stott,PHI,22.5,0.225,,,0,0
2025-09-08,Jorge Barrosa,ARI,22.4,0.224,,,0,0
2025-09-08,Carson McCusker,MIN,21.0,0.21,,,0,0
2025-09-08,Patrick Bailey,SF,20.9,0.209,,,0,0
2025-09-08,Dominic Smith,SF,20.8,0.208,,,0,0
2025-09-08,Anthony Seigler,MIL,20.6,0.206,,,0,0
2025-09-08,Jung Hoo Lee,SF,20.5,0.205,,,0,0
2025-09-08,Edmundo Sosa,PHI,20.3,0.203,,,0,0
2025-09-08,Christian Koss,SF,20.2,0.202,,,0,0
2025-09-08,Alec Bohm,PHI,20.1,0.201,,,0,0
2025-09-08,George Valera,CLE,19.4,0.194,,,0,0
2025-09-08,Andrew Knizner,SF,19.1,0.191,,,0,0
2025-09-08,Rafael Marchán,PHI,16.7,0.167,,,0,0
2025-09-08,Garrett Stubbs,PHI,15.4,0.154,,,0,0
2025-09-08,Drew Romo,COL,14.2,0.142,,,0,0
2025-09-09,Kyle Schwarber,PHI,63.1,0.631,,,0,0
2025-09-09,Shohei Ohtani,LAD,61.4,0.614,,,0,0
2025-09-09,Brian Navarreto,MIA,58.2,0.582,,,0,0
2025-09-09,Aaron Judge,NYY,57.7,0.577,,,0,0
2025-09-09,Jo Adell,LAA,53.6,0.536,,,0,0
2025-09-09,Byron Buxton,MIN,53.1,0.531,,,0,0
2025-09-09,Cal Raleigh,SEA,49.6,0.496,,,0,0
2025-09-09,Bryce Harper,PHI,48.4,0.484,,,0,0
2025-09-09,Giancarlo Stanton,NYY,47.8,0.478,,,0,0
2025-09-09,Max Muncy,LAD,47.7,0.477,,,0,0
2025-09-09,Andy Pages,LAD,47.4,0.474,,,0,0
2025-09-09,George Springer,TOR,46.7,0.467,,,0,0
2025-09-09,Manny Machado,SD,46.3,0.463,,,0,0
2025-09-09,Freddie Freeman,LAD,46.2,0.462,,,0,0
2025-09-09,Eugenio Suárez,SEA,46.0,0.46,,,0,0
2025-09-09,Ben Rice,NYY,45.7,0.457,,,0,0
2025-09-09,Zach Neto,LAA,45.6,0.456,,,0,0
2025-09-09,Trent Grisham,NYY,45.6,0.456,,,0,0
2025-09-09,Will Smith,LAD,45.3,0.453,,,0,0
2025-09-09,Ian Happ,CHC,44.7,0.447,,,0,0
2025-09-09,Junior Caminero,TB,44.0,0.44,,,0,0
2025-09-09,Jazz Chisholm Jr.,NYY,44.0,0.44,,,0,0
2025-09-09,Sebastián  Rivero,LAA,43.9,0.439,,,0,0
2025-09-09,Teoscar Hernández,LAD,43.8,0.438,,,0,0
2025-09-09,Rafael Devers,SF,43.5,0.435,,,0,0
2025-09-09,Ramón Laureano,SD,43.1,0.431,,,0,0
2025-09-09,Enrique Hernández,LAD,43.1,0.431,,,0,0
2025-09-09,Dansby Swanson,CHC,42.7,0.427,,,0,0
2025-09-09,Willy Adames,SF,42.6,0.426,,,0,0
2025-09-09,Corbin Carroll,ARI,42.5,0.425,,,0,0
2025-09-09,Maximo Acosta,MIA,42.4,0.424,,,0,0
2025-09-09,Taylor Ward,LAA,42.3,0.423,,,0,0
2025-09-09,Daulton Varsho,TOR,42.2,0.422,,,0,0
2025-09-09,Mookie Betts,LAD,42.2,0.422,,,0,0
2025-09-09,James Wood,WSH,42.2,0.422,,,0,0
2025-09-09,Michael Busch,CHC,41.6,0.416,,,0,0
2025-09-09,Juan Soto,NYM,41.6,0.416,,,0,0
2025-09-09,Austin Wells,NYY,41.5,0.415,,,0,0
2025-09-09,Julio Rodríguez,SEA,41.5,0.415,,,0,0
2025-09-09,Cody Bellinger,NYY,41.3,0.413,,,0,0
2025-09-09,Gavin Sheets,SD,40.9,0.409,,,0,0
2025-09-09,Carson Kelly,CHC,40.6,0.406,,,0,0
2025-09-09,Michael Conforto,LAD,40.5,0.405,,,0,0
2025-09-09,Riley Greene,DET,40.4,0.404,,,0,0
2025-09-09,Matt Wallner,MIN,40.3,0.403,,,0,0
2025-09-09,Agustín Ramírez,MIA,40.3,0.403,,,0,0
2025-09-09,Pete Crow-Armstrong,CHC,40.3,0.403,,,0,0
2025-09-09,Brandon Lowe,TB,40.2,0.402,,,0,0
2025-09-09,Seiya Suzuki,CHC,39.8,0.398,,,0,0
2025-09-09,Pete Alonso,NYM,39.7,0.397,,,0,0
2025-09-09,Max Kepler,PHI,39.4,0.394,,,0,0
2025-09-09,Colson Montgomery,CWS,39.4,0.394,,,0,0
2025-09-09,Hunter Goodman,COL,39.4,0.394,,,0,0
2025-09-09,Royce Lewis,MIN,39.0,0.39,,,0,0
2025-09-09,Josh Bell,WSH,38.8,0.388,,,0,0
